step,t,true_n,true_e,true_d,true_vn,true_ve,true_vd,true_qw,true_qx,true_qy,true_qz,true_wx,true_wy,true_wz,est_n,est_e,est_d,est_vn,est_ve,est_vd,est_qw,est_qx,est_qy,est_qz,est_wx,est_wy,est_wz,m0,m1,m2,m3,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
1,0.004000,0.000000,-0.000000,-4.999857,0.000000,-0.000000,0.035681,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-3.333351,0.000000,0.000000,-0.013333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.566870,0.566870,0.566870,0.566870,0.000000,0.000000,-9.810000,0.000000,0.000000,0.000000
2,0.008000,0.000000,-0.000000,-4.999584,0.000000,-0.000000,0.068243,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.000006,0.000000,0.000000,0.016125,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542089,0.542089,0.542089,0.542089,0.000000,-0.000000,-0.889759,0.000000,0.000000,0.000000
3,0.012000,0.000000,-0.000000,-4.999192,0.000000,-0.000000,0.097993,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.285585,0.000000,0.000000,0.044725,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.532777,0.532777,0.532777,0.532777,0.000000,-0.000000,-1.669507,0.000000,0.000000,0.000000
4,0.016000,0.000000,-0.000000,-4.998692,0.000000,-0.000000,0.125184,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.444062,0.000000,0.000000,0.071622,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528509,0.528509,0.528509,0.528509,0.000000,-0.000000,-2.372372,0.000000,0.000000,0.000000
5,0.020000,0.000000,-0.000000,-4.998092,0.000000,-0.000000,0.150032,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.544710,0.000000,0.000000,0.096591,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526441,0.526441,0.526441,0.526441,0.000000,-0.000000,-3.012401,0.000000,0.000000,0.000000
6,0.024000,0.000000,-0.000000,-4.997401,0.000000,-0.000000,0.172730,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.614177,0.000000,0.000000,0.119621,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525487,0.525487,0.525487,0.525487,0.000000,-0.000000,-3.598060,0.000000,0.000000,0.000000
7,0.028000,0.000000,-0.000000,-4.996627,0.000000,-0.000000,0.193453,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.664904,0.000000,0.000000,0.140781,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525144,0.525144,0.525144,0.525144,0.000000,0.000000,-4.135433,0.000000,0.000000,0.000000
8,0.032000,0.000000,-0.000000,-4.995777,0.000000,-0.000000,0.212357,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.703479,0.000000,0.000000,0.160171,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525152,0.525152,0.525152,0.525152,0.000000,0.000000,-4.629330,0.000000,0.000000,0.000000
9,0.036000,0.000000,-0.000000,-4.994859,0.000000,-0.000000,0.229589,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.733720,0.000000,0.000000,0.177901,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525365,0.525365,0.525365,0.525365,0.000000,-0.000000,-5.083772,0.000000,0.000000,0.000000
10,0.040000,0.000000,-0.000000,-4.993878,0.000000,-0.000000,0.245278,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.757993,0.000000,0.000000,0.194081,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525695,0.525695,0.525695,0.525695,0.000000,0.000000,-5.502228,0.000000,0.000000,0.000000
